total_trans_amt,total_trans_ct,total_amt_chng_q4_q1,total_revolving_bal,total_ct_chng_q4_q1,months_inactive_12_mon,contacts_count_12_mon,total_relationship_count,credit_limit,avg_utilization_ratio
1755,42,0.686,2230,0.448,3,2,4,2570.0,0.868
2282,38,0.849,0,0.583,2,3,5,25276.0,0.0
4277,89,0.892,915,0.854,3,1,6,11670.0,0.078
1652,41,0.869,1593,0.367,1,3,3,3124.0,0.51
3874,72,0.725,1185,0.714,2,3,4,34516.0,0.034
1809,39,0.691,0,0.345,2,4,3,11336.0,0.0
7872,80,0.72,1544,0.538,3,1,2,3794.0,0.407
1362,33,0.537,1845,0.269,3,3,4,2335.0,0.79
14791,124,0.632,1139,0.771,3,2,4,3839.0,0.297
3705,69,0.56,0,0.917,3,1,3,13565.0,0.0
2587,43,0.666,2517,0.536,2,2,6,3719.0,0.677
2132,37,0.449,1267,0.37,3,3,3,2447.0,0.518
3778,72,0.796,0,1.118,4,1,5,1438.3,0.0
4270,59,0.934,1804,0.639,3,4,3,34198.0,0.053
5170,68,0.835,2005,0.659,4,1,5,2428.0,0.826
4141,73,0.736,1684,0.521,1,2,5,23981.0,0.07
4435,88,0.89,2039,0.796,1,4,5,18064.0,0.113
4852,85,0.967,598,0.771,2,4,6,2621.0,0.228
4669,94,0.65,949,0.741,1,1,4,1489.0,0.637
4382,83,0.61,1449,0.694,1,1,5,2228.0,0.65
4208,69,0.832,1438,0.865,1,3,3,4599.0,0.313
4355,71,0.984,2517,0.919,2,3,3,3413.0,0.737
1401,30,0.487,2260,0.579,2,4,6,2556.0,0.884
4444,87,0.526,964,0.642,2,2,5,3433.0,0.281
3956,74,0.797,1292,0.609,2,1,5,11115.0,0.116
4153,91,0.778,1211,0.685,3,2,5,17158.0,0.071
1843,35,0.952,2517,0.944,3,3,4,3265.0,0.771
2197,45,0.956,2129,0.957,3,1,3,11450.0,0.186
2377,47,0.879,331,0.516,2,3,4,1757.0,0.188
2170,41,0.782,0,0.464,3,3,6,1438.3,0.0
8582,106,0.674,1349,0.767,1,1,2,34516.0,0.039
3943,80,0.889,1247,0.702,6,4,6,2873.0,0.434
8056,95,0.623,1769,0.583,3,2,2,17698.0,0.1
5027,82,0.708,680,0.64,1,1,2,5798.0,0.117
2825,60,0.926,0,0.818,3,3,6,9661.0,0.0
12595,106,0.771,1668,0.683,2,2,2,32056.0,0.052
2516,63,0.721,0,0.575,2,3,4,1493.0,0.0
1575,41,1.078,1603,0.519,3,4,4,3454.0,0.464
1191,40,0.675,1665,0.481,3,2,3,11959.0,0.139
2372,44,0.782,0,0.63,2,4,5,3554.0,0.0
4196,71,0.869,1720,0.614,3,2,6,2717.0,0.633
14709,125,0.815,1432,0.689,3,4,5,14290.0,0.1
4691,76,0.618,1750,0.727,2,1,1,7088.0,0.247
2665,36,0.865,2517,0.333,2,2,4,3552.0,0.709
1723,31,0.622,1380,0.55,1,3,5,4726.0,0.292
2659,55,0.775,2517,0.833,2,1,4,18008.0,0.14
4598,85,0.9,2204,0.771,3,4,5,2527.0,0.872
1350,24,3.355,2517,1.182,2,0,5,22352.0,0.113
7936,76,0.776,1106,0.767,2,2,1,34516.0,0.032
4244,53,0.861,1936,0.656,2,3,6,2883.0,0.672
2990,55,1.159,0,0.964,2,3,5,15326.0,0.0
1686,34,0.903,2024,0.7,1,2,5,2930.0,0.691
4977,88,0.757,1468,0.692,2,2,6,2275.0,0.645
5443,73,0.508,0,0.973,4,3,1,2721.0,0.0
4562,67,0.701,1168,0.634,3,1,1,1745.0,0.669
1886,66,0.928,0,0.65,3,3,6,1888.0,0.0
1806,31,0.658,1118,0.409,2,3,4,21872.0,0.051
4274,81,0.744,1378,0.723,2,1,6,5153.0,0.267
4131,80,0.688,792,0.702,2,2,6,1493.0,0.53
2398,37,1.924,2517,1.176,3,2,4,7410.0,0.34
5088,71,0.517,773,0.651,2,1,3,4907.0,0.158
1475,33,0.741,2517,0.833,3,2,4,34516.0,0.073
906,22,0.543,785,1.2,3,3,6,4131.0,0.19
3843,66,0.691,1216,1.0,2,3,6,5624.0,0.216
1938,53,1.006,1018,0.656,2,3,4,11909.0,0.085
7936,101,0.871,1802,0.485,2,2,1,34516.0,0.052
2293,36,1.743,2517,0.8,2,5,6,8307.0,0.303
3193,53,0.834,0,0.559,1,2,3,34516.0,0.0
7834,86,0.946,968,0.509,5,1,2,2948.0,0.328
4698,87,0.723,0,0.851,2,2,2,1507.0,0.0
2020,33,0.517,0,0.375,3,4,3,34516.0,0.0
4188,68,0.61,1237,0.545,2,1,5,4038.0,0.306
5203,90,0.586,0,0.765,6,1,2,2337.0,0.0
4529,73,0.671,1829,0.872,1,3,3,4950.0,0.369
1644,45,0.856,0,0.731,2,4,4,6732.0,0.0
1204,19,0.939,2517,0.727,2,2,4,6205.0,0.406
2093,42,1.32,2223,1.0,6,2,5,2759.0,0.806
2351,39,0.799,511,0.3,2,3,3,14409.0,0.035
1219,27,0.374,2169,0.5,3,2,5,5264.0,0.412
2880,69,1.027,1754,0.468,2,3,3,2576.0,0.681
4702,85,1.028,1746,0.771,3,2,6,2732.0,0.639
8104,83,0.861,1377,0.627,2,2,2,17606.0,0.078
3448,103,0.699,0,0.635,2,2,6,9857.0,0.0
1433,38,0.543,2076,1.0,5,4,4,3203.0,0.648
1387,18,1.791,2248,0.8,2,1,3,5771.0,0.39
4547,73,0.826,733,0.973,2,1,3,1937.0,0.378
1990,31,0.458,0,0.192,2,3,2,1508.0,0.0
4618,60,0.446,0,0.875,4,4,5,12155.0,0.0
4498,64,1.103,1856,0.829,3,4,3,3283.0,0.565
1688,38,0.384,1043,0.583,1,2,3,3706.0,0.281
3531,73,0.496,0,0.738,3,3,3,24028.0,0.0
2312,37,0.878,0,0.609,4,3,6,4232.0,0.0
2144,58,0.969,1823,0.812,1,1,6,2956.0,0.617
13311,110,0.814,1290,0.642,2,1,1,24134.0,0.053
2679,69,0.664,1977,0.605,3,5,5,4533.0,0.436
2061,61,0.839,1410,0.649,3,2,6,15755.0,0.089
1375,30,0.485,1424,0.364,3,4,5,2492.0,0.571
4342,72,0.733,1597,0.674,2,4,4,4210.0,0.379
2481,42,1.113,1839,0.68,3,3,5,12948.0,0.142
2781,54,0.466,1616,0.35,1,2,6,3290.0,0.491
4611,91,0.658,0,0.569,1,3,4,9246.0,0.0
4575,78,0.565,1448,0.592,1,1,1,3803.0,0.381
2297,37,0.764,0,0.321,3,4,4,3143.0,0.0
4182,85,0.652,1411,0.848,1,3,1,4977.0,0.284
1516,29,1.702,0,1.636,3,3,5,5266.0,0.0
3645,69,0.678,527,0.605,2,4,3,2855.0,0.185
4586,79,0.814,621,0.646,3,3,5,4604.0,0.135
2451,55,1.769,674,1.292,2,3,6,1438.3,0.469
4604,70,0.613,1758,0.707,2,1,3,7486.0,0.235
4212,75,0.791,1574,0.531,3,0,3,9426.0,0.167
1966,31,0.728,1433,0.55,1,4,3,34516.0,0.042
4200,67,0.754,1775,0.675,1,2,5,3240.0,0.548
1000,25,0.953,0,0.786,3,3,3,27126.0,0.0
4296,68,0.575,2418,0.838,2,3,6,2899.0,0.834
2244,54,0.571,0,0.929,2,3,4,1438.3,0.0
5242,74,1.005,0,0.574,3,1,2,11508.0,0.0
1680,33,0.727,2312,1.062,2,3,6,2778.0,0.832
4313,92,0.639,980,0.917,2,3,5,1734.0,0.565
3382,56,0.704,2517,0.931,1,4,3,5668.0,0.444
5056,63,0.465,0,0.853,4,3,1,7979.0,0.0
2625,63,0.5,0,0.5,2,3,4,3427.0,0.0
5007,91,0.775,874,0.655,2,4,5,9716.0,0.09
5108,81,0.494,0,0.884,3,3,2,1943.0,0.0
4828,90,0.873,1565,0.8,1,1,5,2315.0,0.676
4776,63,0.998,1085,0.575,2,1,3,24703.0,0.044
5237,75,1.01,1177,0.829,4,1,2,3089.0,0.381
1142,33,0.717,2517,0.32,4,3,6,17156.0,0.147
1314,26,1.433,1587,1.364,2,3,6,9095.0,0.174
4789,69,0.514,0,0.408,2,3,5,7514.0,0.0
7707,99,0.715,1701,0.5,1,2,1,34516.0,0.049
3440,46,0.57,540,0.704,3,2,4,2303.0,0.234
8202,88,0.743,1022,0.913,2,1,2,34516.0,0.03
15349,119,0.696,0,0.7,2,2,2,21906.0,0.0
909,14,1.129,0,0.273,3,1,3,6094.0,0.0
2572,62,1.124,0,0.938,2,2,4,1738.0,0.0
3310,76,0.572,1942,0.583,3,3,4,8133.0,0.239
1841,39,0.509,0,0.5,2,3,5,10543.0,0.0
4435,79,0.587,0,0.881,3,2,5,5466.0,0.0
14463,94,0.738,2148,0.774,3,1,1,15483.0,0.139
14137,116,0.94,2072,0.966,2,1,2,3600.0,0.576
4318,81,0.67,1026,0.588,1,4,5,3609.0,0.284
4339,72,0.686,1764,0.6,4,3,5,2987.0,0.591
3571,58,0.898,1426,0.933,1,4,5,4821.0,0.296
1902,28,0.501,0,0.273,2,4,1,11025.0,0.0
4110,74,0.938,1832,0.947,1,1,6,2033.0,0.901
3834,69,0.912,1250,0.643,1,3,4,2295.0,0.545
1533,41,0.467,0,0.323,2,3,5,25190.0,0.0
1088,26,1.015,2517,1.167,0,4,3,11374.0,0.221
1126,23,0.573,1560,0.353,3,2,3,2492.0,0.626
2742,49,1.046,2203,0.4,2,2,3,4430.0,0.497
7688,93,0.742,1155,0.409,6,1,2,1838.0,0.628
5095,77,0.748,1477,0.833,1,2,6,3088.0,0.478
2425,50,0.602,0,0.923,3,1,1,2013.0,0.0
2551,74,1.012,0,0.609,3,2,6,16659.0,0.0
13991,125,0.821,2152,0.761,3,1,1,2754.0,0.781
2567,48,0.849,576,0.6,3,1,4,1438.3,0.4
2476,42,0.555,2152,0.355,2,2,5,2939.0,0.732
2165,61,0.735,1435,0.649,3,3,3,11262.0,0.127
4210,84,0.639,829,0.714,5,2,3,2213.0,0.375
1645,30,0.859,0,0.667,6,2,6,2490.0,0.0
2238,36,0.525,1424,0.2,3,3,1,12972.0,0.11
2412,58,0.945,0,0.657,2,4,6,1438.3,0.0
4382,88,0.744,1501,0.66,1,3,3,2440.0,0.615
14748,118,0.696,2004,0.761,3,3,2,4772.0,0.42
1381,33,0.711,1314,0.435,2,2,6,18749.0,0.07
1732,35,0.677,1267,1.059,1,3,4,2104.0,0.602
3776,83,0.659,1597,0.596,3,3,5,9949.0,0.161
1212,24,1.034,0,0.6,3,3,6,9851.0,0.0
4232,79,0.758,0,0.795,2,1,6,16290.0,0.0
4946,75,0.72,1904,0.531,2,1,6,3600.0,0.529
4775,84,1.046,1966,0.787,3,3,6,2429.0,0.809
1213,33,0.648,1180,0.571,2,2,5,11329.0,0.104
4071,75,0.648,1583,0.829,2,3,1,2699.0,0.587
4622,71,0.61,1711,0.614,2,2,3,3942.0,0.434
2661,35,0.825,0,0.296,3,3,2,3439.0,0.0
2681,57,0.721,1037,0.727,3,2,5,1721.0,0.603
4419,68,0.749,0,0.619,3,2,3,2209.0,0.0
1673,44,0.578,0,0.257,3,4,6,4702.0,0.0
4505,74,0.834,0,0.721,2,3,3,6033.0,0.0
2461,68,0.708,514,0.838,1,4,4,10329.0,0.05
2257,48,0.777,2517,0.714,2,3,2,2892.0,0.87
13432,107,0.653,1917,0.981,2,3,2,14072.0,0.136
3033,41,0.91,1966,0.708,3,1,1,2067.0,0.951
2535,55,0.806,0,0.618,3,3,3,1874.0,0.0
3094,45,1.731,2231,1.647,3,2,3,32964.0,0.068
1394,35,0.414,1528,0.522,2,2,6,22913.0,0.067
15338,121,0.769,2413,0.635,2,5,2,16748.0,0.144
3651,69,0.359,1689,0.605,2,4,5,10533.0,0.16
14969,104,0.606,1912,0.763,2,2,3,4855.0,0.394
4407,84,0.783,1402,0.647,3,3,6,12882.0,0.109
1303,35,0.913,0,0.75,1,2,5,26181.0,0.0
2343,42,0.855,1735,0.355,5,1,3,2003.0,0.866
1263,29,0.589,1967,0.611,6,1,4,2450.0,0.803
4813,86,0.91,0,0.755,3,1,4,3189.0,0.0
